x,y,is_wall
-0.03,-0.39,1
0.72,0.32,1
0.83,-0.4,1
-0.23,-0.11,1
2.37,-0.65,0
-0.22,0.25,1
0.23,-0.4,1
1.32,-0.22,1
0.92,-0.35,0
0.63,0.37,1
0.26,0.39,1
1.29,-0.33,0
0.72,0.24,1
-0.23,-0.19,1
1.37,-0.21,1
0.58,0.38,1
0.75,0.14,1
-0.26,-0.29,1
-0.22,0.41,0
-0.23,-0.03,1
-0.23,0.16,1
0.32,-0.4,1
1.34,-0.16,1
-0.23,0.15,1
0.32,-0.41,1
0.83,-0.33,1
1.72,-0.63,0
-0.23,-0.04,1
-0.23,-0.01,1
0.54,-0.4,1
1.34,-0.14,1
0.76,0.19,1
-0.24,0.36,1
-0.24,-0.34,1
0.75,0.28,1
1.15,0.15,1
2.5,-0.69,0
-0.25,-0.36,1
-0.23,0.34,1
1.36,-0.16,1
0.34,-0.4,1
1.36,-0.14,1
0.56,-0.4,1
0.79,0.14,1
-0.18,0.41,1
0.76,0.28,1
1.16,0.15,1
0.64,-0.36,1
0.47,-0.4,1
0.27,0.4,1
1.07,0.14,1
1.28,-0.32,0
0.67,0.27,1
1.37,-0.23,1
-0.23,0.27,1
-0.22,0.27,1
1.35,0.12,1
0.55,0.38,1
0.83,-0.38,1
-0.23,-0.09,1
0.72,0.34,1
1,0.13,1
0.2,0.39,1
1.33,-0.33,1
0.22,0.39,1
1.04,0.13,1
1.31,-0.33,1
0.24,0.39,1
0.72,0.17,1
-0.23,-0.26,1
0.35,0.4,1
-0.26,-0.16,1
0.75,0.27,1
-0.21,0.27,1
0.32,0.4,1
0.72,0.27,1
1.12,0.14,1
-0.23,-0.16,1
1.01,0.17,1
1.34,-0.29,1
1.69,-0.65,1
0.8,-0.35,1
0.75,0.37,1
1.64,-0.66,1
0.75,-0.36,1
0.8,0.36,1
1.35,-0.25,1
0.95,-0.38,1
1.06,0.16,1
1.29,-0.3,1
0.78,0.3,0
0.44,0.38,1
1.36,0.15,1
0.74,0.26,1
-0.25,-0.17,1
0.34,0.39,1
-0.24,-0.08,1
0.82,-0.37,1
0.73,0.35,1
0.76,0.24,1
0.7,0.29,1
1.1,0.16,1
0.87,0.16,1
-0.26,-0.3,1
0.78,0.23,1
-0.21,0.31,1
0.78,0.18,1
-0.22,0.35,1
-0.26,-0.35,1
1.35,0.01,1
0.15,0.4,1
-0.02,0.41,1
0.95,0.14,1
